"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"e:\maui\Games\App.xaml", "XML", 14, 0, 0, 0, 1, 15
"e:\maui\Games\App.xaml.cs", "C#", 0, 19, 0, 0, 3, 22
"e:\maui\Games\AppShell.xaml", "XML", 65, 0, 0, 0, 4, 69
"e:\maui\Games\AppShell.xaml.cs", "C#", 0, 8, 0, 0, 5, 13
"e:\maui\Games\Constants.cs", "C#", 0, 11, 0, 0, 3, 14
"e:\maui\Games\Games.csproj", "XML", 84, 0, 0, 16, 17, 117
"e:\maui\Games\MauiProgram.cs", "C#", 0, 25, 0, 0, 4, 29
"e:\maui\Games\Models\GameState.cs", "C#", 0, 9, 0, 0, 2, 11
"e:\maui\Games\Models\InventoryItem.cs", "C#", 0, 8, 0, 0, 1, 9
"e:\maui\Games\Models\Setting.cs", "C#", 0, 14, 0, 0, 4, 18
"e:\maui\Games\Platforms\Android\AndroidManifest.xml", "XML", 18, 0, 0, 0, 0, 18
"e:\maui\Games\Platforms\Android\MainActivity.cs", "C#", 0, 18, 0, 11, 3, 32
"e:\maui\Games\Platforms\Android\MainApplication.cs", "C#", 0, 14, 0, 0, 3, 17
"e:\maui\Games\Platforms\Android\Resources\values\colors.xml", "XML", 6, 0, 0, 0, 0, 6
"e:\maui\Games\Platforms\MacCatalyst\AppDelegate.cs", "C#", 0, 9, 0, 0, 2, 11
"e:\maui\Games\Platforms\MacCatalyst\Program.cs", "C#", 0, 12, 0, 3, 2, 17
"e:\maui\Games\Platforms\Tizen\Main.cs", "C#", 0, 15, 0, 0, 3, 18
"e:\maui\Games\Platforms\Tizen\tizen-manifest.xml", "XML", 15, 0, 0, 0, 0, 15
"e:\maui\Games\Platforms\Windows\App.xaml", "XML", 7, 0, 0, 0, 2, 9
"e:\maui\Games\Platforms\Windows\App.xaml.cs", "C#", 0, 12, 0, 9, 5, 26
"e:\maui\Games\Platforms\iOS\AppDelegate.cs", "C#", 0, 9, 0, 0, 2, 11
"e:\maui\Games\Platforms\iOS\Program.cs", "C#", 0, 12, 0, 3, 2, 17
"e:\maui\Games\Properties\launchSettings.json", "JSON", 0, 0, 8, 0, 0, 8
"e:\maui\Games\Resources\AppIcon\appicon.svg", "XML", 979, 0, 0, 0, 1, 980
"e:\maui\Games\Resources\AppIcon\appiconfg.svg", "XML", 8, 0, 0, 0, 0, 8
"e:\maui\Games\Resources\Splash\splash.svg", "XML", 979, 0, 0, 0, 1, 980
"e:\maui\Games\Resources\Styles\Colors.xaml", "XML", 38, 0, 0, 1, 6, 45
"e:\maui\Games\Resources\Styles\Styles.xaml", "XML", 395, 0, 0, 0, 33, 428
"e:\maui\Games\Services\GameStateDatabase.cs", "C#", 0, 51, 0, 0, 9, 60
"e:\maui\Games\Services\InventoryDatabase.cs", "C#", 0, 51, 0, 0, 10, 61
"e:\maui\Games\Services\SettingDatabase.cs", "C#", 0, 153, 0, 0, 14, 167
"e:\maui\Games\Views\BookShelfMove.xaml", "XML", 216, 0, 0, 10, 17, 243
"e:\maui\Games\Views\BookShelfMove.xaml.cs", "C#", 0, 372, 0, 48, 69, 489
"e:\maui\Games\Views\BoxRiddle.xaml", "XML", 236, 0, 0, 17, 16, 269
"e:\maui\Games\Views\BoxRiddle.xaml.cs", "C#", 0, 398, 0, 39, 69, 506
"e:\maui\Games\Views\CabinettLeftRiddle.xaml", "XML", 179, 0, 0, 7, 6, 192
"e:\maui\Games\Views\CabinettLeftRiddle.xaml.cs", "C#", 0, 264, 0, 20, 45, 329
"e:\maui\Games\Views\CabinettRightRiddle.xaml", "XML", 229, 0, 0, 16, 12, 257
"e:\maui\Games\Views\CabinettRightRiddle.xaml.cs", "C#", 0, 219, 0, 14, 43, 276
"e:\maui\Games\Views\ComputerHintPage.xaml", "XML", 116, 0, 0, 8, 8, 132
"e:\maui\Games\Views\ComputerHintPage.xaml.cs", "C#", 0, 227, 0, 14, 34, 275
"e:\maui\Games\Views\ComputerPuzzle.xaml", "XML", 205, 0, 0, 14, 15, 234
"e:\maui\Games\Views\ComputerPuzzle.xaml.cs", "C#", 0, 81, 0, 9, 15, 105
"e:\maui\Games\Views\LightSwitchPage.xaml", "XML", 154, 0, 0, 9, 9, 172
"e:\maui\Games\Views\LightSwitchPage.xaml.cs", "C#", 0, 260, 0, 17, 40, 317
"e:\maui\Games\Views\MoveBooksPuzzle.xaml", "XML", 225, 0, 0, 15, 17, 257
"e:\maui\Games\Views\MoveBooksPuzzle.xaml.cs", "C#", 0, 567, 0, 55, 107, 729
"e:\maui\Games\Views\PaperDisplayPage.xaml", "XML", 152, 0, 0, 9, 9, 170
"e:\maui\Games\Views\PaperDisplayPage.xaml.cs", "C#", 0, 170, 0, 6, 31, 207
"e:\maui\Games\Views\PictureDisplayPage.xaml", "XML", 203, 0, 0, 10, 12, 225
"e:\maui\Games\Views\PictureDisplayPage.xaml.cs", "C#", 0, 187, 0, 7, 32, 226
"e:\maui\Games\Views\PuzzlePiecesSlove.xaml", "XML", 241, 0, 0, 13, 16, 270
"e:\maui\Games\Views\PuzzlePiecesSlove.xaml.cs", "C#", 0, 274, 0, 0, 48, 322
"e:\maui\Games\Views\Room1Wall1.xaml", "XML", 391, 0, 0, 15, 25, 431
"e:\maui\Games\Views\Room1Wall1.xaml.cs", "C#", 0, 281, 0, 13, 48, 342
"e:\maui\Games\Views\Room1Wall2.xaml", "XML", 242, 0, 0, 4, 10, 256
"e:\maui\Games\Views\Room1Wall2.xaml.cs", "C#", 0, 244, 0, 19, 44, 307
"e:\maui\Games\Views\Room1Wall3.xaml", "XML", 223, 0, 0, 1, 10, 234
"e:\maui\Games\Views\Room1Wall3.xaml.cs", "C#", 0, 235, 0, 19, 41, 295
"e:\maui\Games\Views\Room1Wall4.xaml", "XML", 233, 0, 0, 4, 12, 249
"e:\maui\Games\Views\Room1Wall4.xaml.cs", "C#", 0, 301, 0, 35, 54, 390
"e:\maui\Games\Views\SafeDepositBox.xaml", "XML", 290, 0, 0, 19, 17, 326
"e:\maui\Games\Views\SafeDepositBox.xaml.cs", "C#", 0, 253, 0, 25, 47, 325
"e:\maui\Games\Views\ScalePage.xaml", "XML", 214, 0, 0, 12, 12, 238
"e:\maui\Games\Views\ScalePage.xaml.cs", "C#", 0, 294, 0, 10, 47, 351
"e:\maui\Games\Views\SettingPage.xaml", "XML", 75, 0, 0, 4, 8, 87
"e:\maui\Games\Views\SettingPage.xaml.cs", "C#", 0, 74, 0, 13, 14, 101
"e:\maui\Games\Views\StartGamePage.xaml", "XML", 29, 0, 0, 0, 2, 31
"e:\maui\Games\Views\StartGamePage.xaml.cs", "C#", 0, 134, 0, 6, 16, 156
"Total", "-", 6461, 5285, 8, 599, 1219, 13572
